HTC_Top,1/HTC_Top,Part_Thickness,Tool_Thickness,HTC_Bottom,1/HTC_Bottom,Heat_Rate,exotherm,T_H50/,T_H60/,T_H70/,T_H80/,T_H90/,T_H100/,T_H110/,T_C150/,T_C120/,T_C90/,T_C60/,T_C30/,T_H50,T_H60,T_H70,T_H80,T_H90,T_H100,T_H110,T_C150,T_C120,T_C90,T_C60,T_C30,r_H50,r_H60,r_H70,r_H80,r_H90,r_H100,r_H110,r_C150,r_C120,r_C90,r_C60,r_C30
85.5,0.011695906,4.06,10.6,71.2,0.014044944,4.75,3.718389,3.245946695,3.995928484,4.420785053,4.731238442,4.957346947,5.005311958,5.120340716,4.147988,5.169175429,5.610446286,5.587574171,5.504500971,34.5817532,41.0193397,49.001271,57.5266174,66.452602,76.2247682,85.6783816,164.517958,138.092114,109.636562,79.5565096,49.2657534,3.2770244,3.6202432,3.911802,4.1211768,4.2811472,4.4085944,4.4951088,-2.704736,-3.303696,-3.461144,-3.5050808,-3.5164952
31.3,0.031948882,17.1,13.6,37.2,0.02688172,2.85,24.982948,8.083948386,9.923939544,11.63352386,12.98981558,14.32024158,15.32918856,16.28845898,7.251196286,11.985242,15.37095629,17.513024,18.73901177,26.9607471,31.7167723,36.844457,42.9790256,49.1873115,56.3118126,63.5778919,175.379187,161.948347,143.798347,121.295584,95.5865412,1.1987244,1.4331912,1.613732,1.777594,1.907832,2.0281956,2.1287536,-1.18222,-1.908864,-2.414344,-2.794624,-3.072976
31.9,0.031347962,8.99,17.9,21.6,0.046296296,4.99,1.880634,4.837190741,6.259190441,7.522522325,8.806658958,9.924562705,11.08843669,12.13965944,7.164825714,12.32729343,16.24470943,19.18982171,21.57078229,25.8624182,28.7666397,32.4626136,36.0547718,40.4764321,44.6687009,49.4230994,175.07689,163.145527,146.856483,127.164376,105.497738,1.460336,1.6527652,1.8405784,2.00006,2.1695968,2.3101936,2.4559272,-1.096348,-1.663912,-2.107828,-2.454168,-2.717188
87.8,0.011389522,6.06,18.5,74.9,0.013351135,4.88,2.06285,4.830098463,5.931117152,6.914613176,7.675593668,8.300563279,8.997183299,9.421136455,6.037241429,8.854156,10.38600343,11.00072531,11.27946194,26.4291195,31.0561483,36.2566877,42.5431029,49.4932512,56.0937455,64.0248541,171.130345,150.989546,126.351012,98.5025386,69.4781168,1.9497384,2.419524,2.8052688,3.1415328,3.4252356,3.6384952,3.8446012,-1.863412,-2.725,-3.122516,-3.3162,-3.4049736
90.1,0.011098779,5.08,8.28,25.3,0.039525692,2.28,5.015625,5.574333421,6.380905351,6.716770789,6.883148684,7.185022939,7.178788509,7.372609123,4.721271429,6.236806,6.870146857,7.115193714,7.220088571,37.2905198,45.4515358,54.6857626,64.306421,73.6181477,83.6323622,93.1904512,166.52445,141.828821,114.045514,84.903178,55.27031,1.840326,1.9978916,2.1039116,2.170554,2.211014,2.2394792,2.2587456,-2.4198,-3.127,-3.37668,-3.4678072,-3.4998788
53.3,0.018761726,19.1,18.6,97.5,0.01025641,1.02,5.322642,12.99726961,13.94124676,14.76660431,14.99215069,15.20521529,15.21172627,15.14878941,6.806177429,10.70031086,12.88743457,13.74388457,14.350995,36.742785,45.7799283,54.9380636,64.7080063,74.4906804,84.4840392,94.5482348,173.821621,157.451088,135.106021,108.103596,80.2284825,0.8784984,0.9459496,0.9794172,0.997878,1.008316267,1.0157048,1.0231384,-1.455578667,-2.355461333,-2.878104,-3.190490667,-3.360114933
87.7,0.011402509,15.8,18.3,53,0.018867925,2.71,6.192071,8.668740996,10.68113417,12.36887554,13.78530716,14.88523004,15.87940923,16.51371627,7.144906571,11.62622114,14.61236429,16.37356743,17.45327489,26.5077119,31.0541264,36.4803473,42.6418176,49.6610266,56.966801,65.2478289,175.007173,160.691774,141.143275,117.307486,91.0864621,1.1276248,1.391094,1.6113152,1.7953276,1.9539568,2.0818892,2.196082,-1.219004,-2.06156,-2.583968,-2.92696,-3.1427456
71.1,0.014064698,4.35,18.9,98.3,0.01017294,2.43,1.350933,7.030245761,8.115005473,8.666142881,9.208960041,9.609639012,9.672975144,9.907253539,5.784143429,8.267558571,9.35707,9.616211429,9.867527057,32.9165028,40.2805367,48.9412728,57.6222271,66.6485772,76.4946704,85.9253739,170.244502,148.936455,122.749745,93.65674,64.5363447,1.7262276,1.9553916,2.1186964,2.2216008,2.2914812,2.3415992,2.3738812,-2.037144,-2.881996,-3.239368,-3.3922188,-3.452408
72.1,0.013869626,7.66,14.8,88.8,0.011261261,3.62,6.203961,4.65654721,5.503889586,6.154355552,6.444586602,6.935173508,7.235015663,7.46941721,4.964914,6.934574286,7.712125143,8.002128486,7.842848857,33.1432991,40.0759197,47.7212329,56.6705965,64.8946719,73.8092433,82.9607097,167.377199,144.27101,116.992438,88.0074497,57.449971,2.3805632,2.6742928,2.895812,3.0764664,3.19328,3.2902656,3.3673172,-2.309812,-3.041584,-3.3416,-3.4639012,-3.514382
50.4,0.01984127,11.9,10.7,22.7,0.044052863,1.94,12.272903,9.094078351,10.87539675,12.28735773,13.41049686,14.30660634,15.02256541,15.47947608,6.338222857,10.35160086,12.774262,14.22141714,15.02929017,32.357488,38.9017303,46.162526,53.9836361,62.2451837,70.8562231,79.9698164,172.18378,156.230603,134.709917,109.77496,82.6025156,1.1990236,1.3559752,1.479792533,1.575537067,1.651116,1.7115832,1.7618196,-1.538304,-2.244524,-2.726276,-3.042708,-3.2493944
41.3,0.024213075,7.36,14.4,37.1,0.026954178,3.9,4.630144,5.420974667,6.724518282,7.853456872,8.988407692,9.847230615,10.68001918,11.3280371,6.352349143,10.120308,12.36743914,13.77315143,14.48115449,28.8581988,33.7743787,39.3715182,44.94521,51.5958006,58.3479252,65.8206553,172.233222,155.421078,133.286037,108.20603,80.6840407,1.7370544,2.0150128,2.260404,2.4490572,2.63115,2.7788344,2.9212636,-1.547076,-2.314296,-2.792272,-3.092012,-3.2805248
25,0.04,17.5,9.34,78.1,0.012804097,3.69,54.51266,6.242045203,7.535268103,8.641848672,9.466260894,10.1260545,10.85991626,11.29819439,6.701512571,10.17596857,11.84432971,12.28965514,12.43528617,26.9668532,32.1948607,38.1115784,45.0694973,52.6348589,59.926909,68.3096627,173.455294,155.61589,131.455154,103.013793,73.5235016,1.7105528,2.1119556,2.4065008,2.6547456,2.8520244,2.9905,3.1126704,-1.572828,-2.555552,-3.091004,-3.387236,-3.5402768
97.9,0.010214505,2.01,11.5,65.5,0.015267176,1.48,0.61519,5.129445946,5.283557297,5.217797432,5.242535,5.379688176,5.385496014,5.260055405,4.231049429,5.060220571,5.473333429,5.460295343,5.277726943,42.40842,52.1803352,62.2776598,72.2410482,82.0380615,92.0294659,102.215118,164.808673,137.710772,109.156667,79.1110337,48.4720443,1.429332267,1.4620416,1.473812,1.4778636,1.4796068,1.480848,1.482432,-2.744348,-3.329392,-3.46336,-3.4969968,-3.504606
92.1,0.010857763,7.1,8.75,57,0.01754386,4.91,8.793297,3.416617902,3.987288737,4.601062485,4.808265051,5.241859593,5.395505092,5.494350489,4.337795714,5.763677429,6.039071143,6.021931829,5.917912457,33.2244061,40.4224123,47.4087832,56.3914186,64.2624694,73.50807,83.0227391,165.182285,140.172871,111.136749,81.0767614,50.7126936,3.1872832,3.5923064,3.8669896,4.1254256,4.285476,4.4268476,4.5367032,-2.616152,-3.249788,-3.449328,-3.5099904,-3.5275424
77.1,0.012970169,17.4,10.2,86,0.011627907,3.03,35.917503,6.083693366,6.95807165,7.662790792,8.081958548,8.368656172,8.793772772,8.920149472,5.669722857,7.789819143,8.71808,8.81787,8.662812171,31.5664091,38.9170429,46.7817439,55.5116656,64.6429718,73.3548685,82.9719471,169.84403,147.264367,120.51328,90.862545,60.3198426,2.033401837,2.3252036,2.517922,2.65737,2.7555584,2.8223924,2.878836,-2.129896,-2.998016,-3.351768,-3.5058572,-3.5689396
90.9,0.0110011,15.9,12.1,85.9,0.011641444,4.93,26.311161,4.297104807,5.109668641,5.919273529,6.529380264,6.943674604,7.269062394,7.734355112,5.53458,7.639312857,8.381790286,8.786251629,8.697002,28.8152733,34.8093336,40.8179815,47.8101553,55.7676842,64.1635224,71.8696293,169.37103,146.737595,119.336266,90.7518807,60.439507,2.5936832,3.0526256,3.3658104,3.6407088,3.8671844,4.0500976,4.183952,-2.174764,-2.983744,-3.330408,-3.4784812,-3.5430588
69.7,0.014347202,19.4,17.7,54.5,0.018348624,1.18,12.245371,13.8433478,15.91964966,17.08122924,18.04278695,18.48943508,18.96520237,19.03490559,6.966839143,11.25415943,13.96674857,15.95638457,16.8500484,33.6648496,41.2148134,49.8441495,58.7095114,68.1824666,77.6210612,87.5388114,174.383937,159.389558,138.88362,115.847346,88.9751694,0.8629476,0.9644088,1.034948,1.081370667,1.114855733,1.1391632,1.1610788,-1.32614,-2.112248,-2.622852,-2.952408,-3.182242
45.2,0.022123894,8.48,8.03,79.1,0.012642225,2.2,13.288379,5.490840591,5.991922727,6.1785025,6.500382091,6.399642591,6.631199727,6.712726909,4.843794,6.414163429,6.441334857,6.742702114,6.564646171,37.9201507,46.81777,56.4072945,65.6991594,75.9207863,85.4113606,95.2320008,166.953279,142.449572,112.544672,83.5994574,52.9762616,1.9105868,2.0374604,2.1057524,2.140644,2.1625192,2.1762832,2.1893396,-2.5112,-3.229924,-3.46902,-3.5374224,-3.5599228
82.1,0.012180268,7.24,18,22.7,0.044052863,4.01,1.226197,4.92171419,6.132849152,7.346801771,8.383158828,9.236851771,10.15911142,10.91713057,5.873352571,9.634157429,12.02316914,13.65836514,14.63362729,30.2639261,35.4072749,40.5393249,46.3835331,52.9602244,59.2619632,66.2223064,170.556734,153.719551,132.081092,107.804278,81.2176955,1.85701,2.0787064,2.2590372,2.4265008,2.5928676,2.7258156,2.8501688,-1.644408,-2.286968,-2.71304,-2.987892,-3.1691472
68.1,0.014684288,8.82,10.1,84.6,0.011820331,1.16,4.220586,6.293885431,6.460723448,6.407024655,6.440427328,6.451266293,6.435789138,6.378548276,4.673933714,6.009757143,6.303167143,6.263777314,6.499224971,42.6990929,52.5055608,62.5678514,72.5291043,82.5165311,92.5344846,102.600884,166.358768,141.03415,112.061085,81.9232206,52.7472874,1.1251904,1.145920267,1.1531576,1.1565444,1.1595664,1.163944533,1.171290667,-2.533992,-3.230028,-3.453228,-3.523998,-3.545755733
76.7,0.01303781,13.2,15.8,28.8,0.034722222,1.44,5.4825,10.70098243,12.63856049,14.12527104,15.1613709,16.03900118,16.71311389,16.86781813,6.210107143,9.945299143,12.62150286,14.135534,15.36809711,34.5905853,41.8004729,49.6596097,58.1676259,66.9038383,75.933116,85.7103419,171.735375,154.808547,134.17526,109.474369,83.7883399,0.994344,1.102832,1.184190133,1.24672,1.2944764,1.3322424,1.3652176,-1.603448,-2.246036,-2.66762,-2.967036,-3.1601876
99.6,0.010040161,5.99,14.5,47.8,0.020920502,3.04,2.947095,5.174089441,6.174303191,6.854649507,7.459919803,7.935315395,8.08212148,8.488988289,5.005074857,7.291896857,8.128775143,8.623005114,8.864981057,34.2707681,41.2301183,49.1618655,57.3218438,65.8766412,75.4303507,84.1934756,167.517762,145.521639,118.450713,90.1805179,61.0274337,2.029675038,2.2607892,2.4449484,2.581274,2.686922,2.7734056,2.83631,-2.197908,-2.908752,-3.244468,-3.3926332,-3.4600256
40.2,0.024875622,14.7,17.4,43.3,0.023094688,1.61,10.825347,11.24119149,13.40964391,15.03227193,16.39607683,17.27624826,18.03861677,18.73780783,6.741674286,11.25495829,14.22039714,16.36161514,17.47749766,31.9016817,38.4104733,45.7980422,53.6023163,62.1852403,70.957827,79.8321294,173.59586,159.392354,139.77139,117.265653,91.1712418,0.9955944,1.130523467,1.2343192,1.313962,1.379164267,1.4288292,1.4694576,-1.348104,-2.022832,-2.513204,-2.854709333,-3.1043148
72.7,0.013755158,14.1,19.9,38.2,0.02617801,4.07,3.374585,6.514365971,8.333293661,9.954522654,11.47499872,12.74958455,14.08050941,15.10398914,7.525467429,12.67451543,16.33815543,18.84045229,20.681354,23.4865305,26.0834948,29.4850928,33.2967552,38.1091909,42.6923267,48.5267642,176.339136,164.360804,147.183544,125.941583,102.384739,0.9701712,1.241326701,1.495816,1.728326,1.9563528,2.1301904,2.3254508,-1.001092,-1.749,-2.272884,-2.641256,-2.893652
76,0.013157895,17,8.97,67.1,0.01490313,1.58,24.946923,8.101633354,8.75316981,9.346292658,9.544263608,9.64532943,9.679257025,9.650573228,5.804816857,8.226798571,9.078412286,9.383359657,9.269674057,37.1994193,46.1699917,55.2328576,64.9200635,74.7603795,84.7067739,94.7520943,170.316859,148.793795,121.774443,92.8417588,62.4438592,1.3552048,1.4527532,1.5037292,1.5338944,1.5528564,1.5680196,1.5848164,-2.069237333,-2.916528,-3.31024,-3.4814516,-3.5588908
53.8,0.018587361,19.5,19.5,28.7,0.034843206,4.73,5.171002,5.955093362,7.713033552,9.388001691,11.00154296,12.53438979,13.90295708,15.22859173,8.218978286,14.34223171,19.03614057,22.72956,25.51535371,21.8324084,23.5173513,25.594752,27.9627018,30.7123363,34.239013,37.9687611,178.766424,170.197811,156.626492,139.55346,119.303738,0.6417,0.874616,1.0979708,1.2928352,1.4784944,1.6711008,1.8530768,-0.717916,-1.324124,-1.81368,-2.19596,-2.495684
96.8,0.010330579,9.7,15.1,52.6,0.019011407,2.5,5.539778,6.24909488,7.36170552,8.20900692,8.85497568,9.34739572,9.72164216,10.003252,5.237102571,7.855979429,9.205224286,9.891158457,9.9879604,34.3772628,41.5957362,49.4774827,57.8625608,66.6315107,75.6958946,84.99187,168.329859,147.495928,122.218285,94.6190546,64.9578614,1.7119812,1.9003016,2.0429644,2.1514828,2.2345768,2.2990392,2.3503968,-2.072704,-2.77536,-3.143576,-3.33517,-3.4359092
52.9,0.018903592,9.09,13.4,48.2,0.020746888,3.94,7.887746,5.01658802,6.249144594,7.167307944,7.929664137,8.655115305,9.37835599,9.821108807,5.949595429,9.028806857,10.72079114,11.48423686,11.78648817,30.2346432,35.3783703,41.7608067,48.7571233,55.8988457,63.0492774,71.3048313,170.823584,151.600824,127.522769,100.194829,71.2527086,2.0319,2.3129504,2.5663928,2.778052,2.9437168,3.0847472,3.2140296,-1.803824,-2.599484,-3.03668,-3.2830916,-3.41856
71.2,0.014044944,5.33,9.23,27.8,0.035971223,2.37,5.085128,6.098949705,6.979852025,7.575062996,7.974554979,8.474979662,8.651000928,8.759099747,5.246768,7.296145714,8.252076,8.662853171,8.589252371,35.5454892,43.4577507,52.0471007,61.1003047,69.9142982,79.4971278,89.2409336,168.363688,145.53651,118.882266,90.3199861,60.0623833,1.7666484,1.9559832,2.0855656,2.1744788,2.2328444,2.2768232,2.3088716,-2.176408,-2.954968,-3.281608,-3.4234844,-3.4852676
31.3,0.031948882,13.1,12.8,89.3,0.011198208,4.8,26.600989,4.783802083,5.827779708,6.687686,7.398887729,7.989103708,8.672178896,9.090740604,6.215687714,9.066547143,10.26848171,10.9011856,10.8988446,27.03775,32.0266574,37.8991072,44.4853389,51.6523022,58.3735413,66.3644451,171.754907,151.732915,125.939686,98.1541496,68.1459561,2.1376712,2.5948088,2.96266,3.2532712,3.4983648,3.677804,3.847788,-1.810216,-2.737912,-3.19624,-3.41712,-3.52958
75.7,0.01321004,16.4,16.2,37.2,0.02688172,4.4,10.710848,5.12787725,6.3175075,7.436949114,8.526098045,9.458548023,10.23006016,11.00682286,6.356292,10.23987714,12.72419629,14.40484486,15.36891691,27.4373401,32.202967,37.2774239,42.4851686,48.3823887,54.9877353,61.5699794,172.247022,155.83957,134.534687,110.416957,83.7912092,1.8652672,2.1565884,2.36624,2.5465536,2.7062312,2.8654168,2.994688,-1.58512,-2.24124,-2.683636,-2.980988,-3.1855604
59.2,0.016891892,4.81,10.3,91.9,0.010881393,2.84,4.881829,4.520157042,4.889420141,5.064042289,5.368595423,5.371660563,5.581567676,5.397510634,4.278438,5.513277143,5.682644857,5.626953429,5.513287486,37.162754,46.1140468,55.6181199,64.753189,74.744484,84.1483478,94.6710698,164.974533,139.29647,109.889257,79.694337,49.2965062,2.369032,2.5648208,2.676162,2.7365728,2.775204,2.7975784,2.8148704,-2.710084,-3.312028,-3.475816,-3.5178916,-3.528862
53.7,0.018621974,5.68,9.03,96,0.010416667,2.72,7.062228,4.437515294,4.639312206,4.90059011,5.076803346,5.082932978,5.183462684,5.265379669,4.302665143,5.192516571,5.285998571,5.4449372,5.182395086,37.9299584,47.3810708,56.6703949,66.1910949,76.1744223,85.9009815,95.6781673,165.059328,138.173808,108.500995,79.0572802,48.1383828,2.3509304,2.5195856,2.6029248,2.6485896,2.675224,2.691256,2.7036788,-2.75708,-3.355552,-3.49626,-3.5286676,-3.5368448
98.4,0.010162602,18.3,11.1,97.6,0.010245902,3.74,33.811005,5.585629759,6.601325481,7.377767647,7.978816925,8.34253107,8.712657005,9.009679733,5.989712857,8.195314857,8.905903429,9.143124743,9.021594971,29.1097447,35.3110427,42.407149,50.1592247,58.7989338,67.4146628,76.3037978,170.963995,148.683602,121.170662,92.0009366,61.5755824,2.1747232,2.5666268,2.8525828,3.0633992,3.2235216,3.3411536,3.4342164,-2.070164,-2.984576,-3.349176,-3.4951552,-3.5525876
39.6,0.025252525,6.04,10.4,38.3,0.026109661,3.63,6.635585,5.415172039,6.57728562,7.526770579,8.304421708,8.84390011,9.364923471,9.794772837,5.875022571,8.873290286,10.169858,11.01442794,11.22316849,30.3429255,36.1244532,42.6778228,49.8549492,57.8966426,66.0053278,74.4449746,170.562579,151.056516,125.594503,98.5504978,69.2810897,1.956552,2.2653212,2.5146656,2.7163664,2.8832064,3.0155368,3.125986,-1.854084,-2.67266,-3.111564,-3.3289352,-3.447536
96.6,0.010351967,17.2,9.16,57.8,0.017301038,1.37,18.863768,8.694341095,9.182507299,9.59859365,9.979456715,9.898930876,9.995021387,10.02139058,5.719928857,7.974747143,9.121172857,9.2623598,9.463592514,38.0887527,47.419965,56.8499267,66.3281443,76.4384647,86.3068207,96.2706949,170.019751,147.911615,121.924105,92.4182593,63.1225738,1.203408,1.280262133,1.31892,1.340681333,1.355364533,1.367542,1.3824408,-2.077869333,-2.899956,-3.273704,-3.4540348,-3.5341452
